Date,Open,High,Low,Close,Adj Close,Volume
2021-01-25,30.930000,31.260000,29.820000,30.072001,29.309727,67100
2021-02-01,30.430000,31.389999,30.309999,31.389999,30.594316,59900
2021-02-08,31.389999,31.636999,31.120001,31.540001,30.740515,30000
2021-02-15,31.629999,31.629999,30.954000,31.299999,30.506598,24700
2021-02-22,31.100000,31.540001,30.780001,30.780001,29.999781,35200
2021-03-01,30.940001,31.480000,30.600000,30.799999,30.019272,24200
2021-03-08,31.000000,32.328999,31.000000,32.230000,31.413023,60700
2021-03-15,32.049999,32.669998,31.760000,32.209999,31.393532,23100
2021-03-22,32.349998,32.500000,31.520000,32.215000,31.398405,34900
2021-03-29,32.320000,32.990002,32.230000,32.929001,32.094307,60800
2021-04-05,33.099998,33.650002,33.099998,33.533001,32.682995,40900
2021-04-12,33.689999,34.389999,33.400002,34.308998,33.439323,40200
2021-04-19,34.380001,34.389999,33.520000,34.189999,33.323341,82700
2021-04-26,34.139999,34.299999,33.560001,33.560001,32.709312,33700
2021-05-03,33.980000,34.599998,32.930000,34.561001,33.684940,66200
2021-05-10,34.590000,34.610001,33.570000,34.554001,33.678116,70800
2021-05-17,34.450001,34.770000,33.724998,34.770000,33.888641,37200
2021-05-24,34.770000,35.119999,34.610001,34.854000,33.970509,38800
2021-05-31,35.279999,35.400002,34.821999,35.200001,34.307743,33300
2021-06-07,35.180000,35.380001,34.810001,35.070999,34.182011,30100
2021-06-14,35.150002,35.209000,33.689999,33.792000,32.935432,39700
2021-06-21,34.040001,34.490002,33.990002,34.330002,33.459797,56900
2021-06-28,34.330002,34.330002,33.310001,33.735001,32.879875,42400
2021-07-05,33.509998,33.897999,32.970001,33.897999,33.551739,38600
2021-07-12,33.889999,34.144001,33.139999,33.168999,32.830185,164700
2021-07-19,32.509998,33.450001,32.110001,33.404999,33.063774,122700
2021-07-26,33.330002,33.730000,33.139999,33.436001,33.094460,61000
2021-08-02,33.529999,33.819000,33.310001,33.578999,33.235996,30600
2021-08-09,33.570000,34.157001,33.419998,34.137001,33.788300,19500
2021-08-16,33.880001,34.078999,33.240002,33.528999,33.186508,42000
2021-08-23,33.700001,33.915001,33.529999,33.880001,33.533924,36400
2021-08-30,33.950001,34.080002,33.680000,34.060001,33.712086,60900
2021-09-06,34.090000,34.090000,33.299999,33.314999,32.974693,50800
2021-09-13,33.709999,33.869999,32.849998,32.999001,32.661922,39000
2021-09-20,32.189999,33.349998,31.860001,32.970001,32.633221,46700
2021-09-27,33.020000,33.098999,31.740000,32.005001,31.678078,21700
2021-10-04,31.889999,32.020000,31.209999,31.850000,31.524660,75300
2021-10-11,31.799999,32.790001,31.620001,32.755001,32.420418,21800
2021-10-18,32.430000,32.917000,32.430000,32.827999,32.492668,23700
2021-10-25,32.830002,33.238998,32.744999,32.869999,32.534241,31700
2021-11-01,33.020000,33.740002,32.980000,33.590000,33.246887,42400
2021-11-08,33.630001,33.740002,33.195000,33.339001,32.998451,28300
2021-11-15,33.340000,33.430000,32.911999,32.930000,32.593628,34400
2021-11-22,32.820000,32.889999,31.160000,31.180000,30.861504,102900
2021-11-29,31.430000,31.645000,30.684999,30.990000,30.673445,69600
2021-12-06,31.290001,32.259998,31.202000,32.011002,31.684017,66900
2021-12-13,31.990000,32.200001,31.440001,31.440001,31.118849,175400
2021-12-20,31.110001,32.369999,31.080000,32.320999,31.990849,184200
2021-12-27,32.369999,32.625000,32.099998,32.334999,32.004704,34400
2022-01-03,32.470001,33.029999,32.349998,32.465000,32.465000,53300
2022-01-10,32.040001,33.000000,31.920000,32.580002,32.580002,118300
2022-01-17,32.200001,32.313000,31.389999,31.420000,31.420000,50600
2022-01-24,30.650000,31.500000,30.000000,30.820000,30.820000,165500
2022-01-31,30.799999,31.740000,30.799999,31.110001,31.110001,53600
2022-02-07,31.080000,32.000000,30.629999,30.820000,30.820000,43000
2022-02-14,30.650000,31.629999,30.264000,30.559999,30.559999,43600
2022-02-21,29.965000,30.100000,27.700001,29.660000,29.660000,138500
2022-02-28,28.700001,29.136000,25.450001,25.790001,25.790001,145000
2022-03-07,25.780001,27.721001,24.500000,26.500000,26.500000,247200
2022-03-14,27.389999,28.830000,26.930000,28.625999,28.625999,124000
2022-03-21,28.530001,28.690001,27.959999,28.340000,28.340000,83200
2022-03-28,28.480000,29.809000,28.110001,28.520000,28.520000,147900
2022-04-04,28.469999,28.670000,27.400000,27.660000,27.660000,68700
2022-04-11,27.600000,27.780001,27.000000,27.320000,27.320000,69100
2022-04-18,27.280001,28.379999,27.090000,27.170000,27.170000,146900
2022-04-25,26.870001,27.139999,25.840000,26.240000,26.240000,179100
2022-05-02,26.180000,26.959999,25.582001,25.760000,25.760000,180900
